rel_path	classification	target_surface	source_path	note
Player/MarioDamage.cpp	compat-temporary	no	decomp/src/Game/Player/MarioDamage.cpp	source exists but pc-port behavior/shape differs
Player/MarioDamage.hpp	compat-temporary	no	decomp/include/Game/Player/MarioDamage.hpp	source exists but pc-port behavior/shape differs
Player/MarioDamageStun.cpp	compat-temporary	no	decomp/src/Game/Player/MarioDamageStun.cpp	source exists but pc-port behavior/shape differs
Player/MarioEffect.cpp	compat-temporary	no	decomp/src/Game/Player/MarioEffect.cpp	source exists but pc-port behavior/shape differs
Player/MarioEnforce.cpp	compat-temporary	no	decomp/src/Game/Player/MarioEnforce.cpp	source exists but pc-port behavior/shape differs
Player/MarioFaint.cpp	compat-temporary	no	decomp/src/Game/Player/MarioFaint.cpp	source exists but pc-port behavior/shape differs
Player/MarioFaint.hpp	compat-temporary	no	decomp/include/Game/Player/MarioFaint.hpp	source exists but pc-port behavior/shape differs
Player/MarioFlip.cpp	compat-temporary	no	decomp/src/Game/Player/MarioFlip.cpp	source exists but pc-port behavior/shape differs
Player/MarioFoo.cpp	compat-temporary	no	decomp/src/Game/Player/MarioFoo.cpp	source exists but pc-port behavior/shape differs
Player/MarioFoo.hpp	compat-temporary	no	decomp/include/Game/Player/MarioFoo.hpp	source exists but pc-port behavior/shape differs
Player/MarioFrontStep.cpp	compat-temporary	no	decomp/src/Game/Player/MarioFrontStep.cpp	source exists but pc-port behavior/shape differs
Player/MarioHang.cpp	compat-temporary	no	decomp/src/Game/Player/MarioHang.cpp	source exists but pc-port behavior/shape differs
Player/MarioHang.hpp	compat-temporary	no	decomp/include/Game/Player/MarioHang.hpp	source exists but pc-port behavior/shape differs
Player/MarioInit.cpp	compat-temporary	no	decomp/src/Game/Player/MarioInit.cpp	source exists but pc-port behavior/shape differs
Player/MarioJump.cpp	compat-temporary	no	decomp/src/Game/Player/MarioJump.cpp	source exists but pc-port behavior/shape differs
Player/MarioMagic.cpp	compat-temporary	no	decomp/src/Game/Player/MarioMagic.cpp	source exists but pc-port behavior/shape differs
Player/MarioModule.cpp	compat-temporary	no	decomp/src/Game/Player/MarioModule.cpp	source exists but pc-port behavior/shape differs
Player/MarioMove.cpp	compat-temporary	no	decomp/src/Game/Player/MarioMove.cpp	source exists but pc-port behavior/shape differs
Player/MarioMove25D.cpp	compat-temporary	no	decomp/src/Game/Player/MarioMove25D.cpp	source exists but pc-port behavior/shape differs
Player/MarioMove2D.cpp	compat-temporary	no	decomp/src/Game/Player/MarioMove2D.cpp	source exists but pc-port behavior/shape differs
Player/MarioPress.cpp	compat-temporary	no	decomp/src/Game/Player/MarioPress.cpp	source exists but pc-port behavior/shape differs
Player/MarioRabbit.cpp	compat-temporary	no	decomp/src/Game/Player/MarioRabbit.cpp	source exists but pc-port behavior/shape differs
Player/MarioRecovery.cpp	compat-temporary	no	decomp/src/Game/Player/MarioRecovery.cpp	source exists but pc-port behavior/shape differs
Player/MarioRecovery.hpp	compat-temporary	no	decomp/include/Game/Player/MarioRecovery.hpp	source exists but pc-port behavior/shape differs
Player/MarioShadow.cpp	compat-temporary	no	decomp/src/Game/Player/MarioShadow.cpp	source exists but pc-port behavior/shape differs
Player/MarioShadow.hpp	compat-temporary	no	decomp/include/Game/Player/MarioShadow.hpp	source exists but pc-port behavior/shape differs
Player/MarioSideStep.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSideStep.cpp	source exists but pc-port behavior/shape differs
Player/MarioSkate.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSkate.cpp	source exists but pc-port behavior/shape differs
Player/MarioSkate.hpp	compat-temporary	no	decomp/include/Game/Player/MarioSkate.hpp	source exists but pc-port behavior/shape differs
Player/MarioSlider.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSlider.cpp	source exists but pc-port behavior/shape differs
Player/MarioSlip.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSlip.cpp	source exists but pc-port behavior/shape differs
Player/MarioSlope.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSlope.cpp	source exists but pc-port behavior/shape differs
Player/MarioSound.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSound.cpp	source exists but pc-port behavior/shape differs
Player/MarioSpecial.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSpecial.cpp	source exists but pc-port behavior/shape differs
Player/MarioSpin.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSpin.cpp	source exists but pc-port behavior/shape differs
Player/MarioStep.cpp	compat-temporary	no	decomp/src/Game/Player/MarioStep.cpp	source exists but pc-port behavior/shape differs
Player/MarioStick.cpp	compat-temporary	no	decomp/src/Game/Player/MarioStick.cpp	source exists but pc-port behavior/shape differs
Player/MarioSukekiyo.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSukekiyo.cpp	source exists but pc-port behavior/shape differs
Player/MarioSwim.hpp	compat-temporary	no	decomp/include/Game/Player/MarioSwim.hpp	source exists but pc-port behavior/shape differs
Player/MarioSwimDamage.cpp	compat-temporary	no	decomp/src/Game/Player/MarioSwimDamage.cpp	source exists but pc-port behavior/shape differs
Player/MarioTask.cpp	compat-temporary	no	decomp/src/Game/Player/MarioTask.cpp	source exists but pc-port behavior/shape differs
Player/MarioTeresa.cpp	compat-temporary	no	decomp/src/Game/Player/MarioTeresa.cpp	source exists but pc-port behavior/shape differs
Player/MarioTeresa.hpp	compat-temporary	no	decomp/include/Game/Player/MarioTeresa.hpp	source exists but pc-port behavior/shape differs
Player/MarioWait.cpp	compat-temporary	no	decomp/src/Game/Player/MarioWait.cpp	source exists but pc-port behavior/shape differs
Player/MarioWall.cpp	compat-temporary	no	decomp/src/Game/Player/MarioWall.cpp	source exists but pc-port behavior/shape differs
Player/MarioWall.hpp	compat-temporary	no	decomp/include/Game/Player/MarioWall.hpp	source exists but pc-port behavior/shape differs
Player/MarioWarp.cpp	compat-temporary	no	decomp/src/Game/Player/MarioWarp.cpp	source exists but pc-port behavior/shape differs
Player/MatrixControl.cpp	compat-temporary	no	decomp/src/Game/Player/MatrixControl.cpp	source exists but pc-port behavior/shape differs
Player/RushEndInfo.cpp	compat-temporary	no	decomp/src/Game/Player/RushEndInfo.cpp	source exists but pc-port behavior/shape differs
Player/RushEndInfo.hpp	compat-temporary	no	decomp/include/Game/Player/RushEndInfo.hpp	source exists but pc-port behavior/shape differs
