symbol	demangled	category	pc_archive_provider	pc_archive_status
_ZN2MR12onCalcShadowEP9LiveActorPKc	MR::onCalcShadow(LiveActor*, char const*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[GameActorPhysicsCompat.cpp.o]	provided
_ZN2MR12setBaseTRMtxEP9LiveActorRKN9JGeometry10TPosition3INS2_9TMatrix34INS2_10SMatrix34CIfEEEEEE	MR::setBaseTRMtx(LiveActor*, JGeometry::TPosition3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float> > > const&)	J3D/model/animation	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR13getJointIndexEPK9LiveActorPKc	MR::getJointIndex(LiveActor const*, char const*)	J3D/model/animation		not found in PC archives
_ZN2MR13getPlayerLeftEv	MR::getPlayerLeft()	other Game/runtime provider		not found in PC archives
_ZN2MR13initLightCtrlEP9LiveActor	MR::initLightCtrl(LiveActor*)	LiveActor/NameObj/Nerve ABI	libsmg-pc-game.a[LiveActorUtilCompat.cpp.o]	provided
_ZN2MR13isSensorEnemyEPK9HitSensor	MR::isSensorEnemy(HitSensor const*)	HitSensor	libsmg-pc-game.a[GameActorSensorCompat.cpp.o]	provided
_ZN2MR13makeMtxUpSideEPN9JGeometry10TPosition3INS0_9TMatrix34INS0_10SMatrix34CIfEEEEEERKNS0_5TVec3IfEESB_	MR::makeMtxUpSide(JGeometry::TPosition3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float> > >*, JGeometry::TVec3<float> const&, JGeometry::TVec3<float> const&)	J3D/model/animation		not found in PC archives
_ZN2MR13startStageBGMEPKcb	MR::startStageBGM(char const*, bool)	effects/audio	libsmg-pc-game.a[SoundUtilCompat.cpp.o]	provided
_ZN2MR13stopAnimFrameEP9LiveActor	MR::stopAnimFrame(LiveActor*)	LiveActor/NameObj/Nerve ABI		not found in PC archives
_ZN2MR13tmpMtxRotXRadEf	MR::tmpMtxRotXRad(float)	other Game/runtime provider		not found in PC archives
